# Time-averaged data for fix flux
# TimeStep c_jVz c_jQzIon c_jQzNa c_jVzIon c_jVzAvg c_jVzAvg_spce
1810000 -2586.61 -37.8499 -37.8499 -37.8499 -10.8226 -10.7543
1820000 -381.753 7.46751 7.46751 7.46751 -1.59729 -1.64228
1830000 587.906 -5.09295 -5.09295 -5.09295 2.45986 2.5021
1840000 257.759 -17.8165 -17.8165 -17.8165 1.07849 1.16277
1850000 2667.77 50.8195 50.8195 50.8195 11.1622 11.042
1860000 702.491 7.31711 7.31711 7.31711 2.93929 2.93322
1870000 832.554 42.2946 42.2946 42.2946 3.48349 3.33443
1880000 7131.76 58.9095 58.9095 58.9095 29.84 29.8433
1890000 -449.372 6.60878 6.60878 6.60878 -1.88022 -1.92397
1900000 12992.9 83.7739 83.7739 83.7739 54.3637 54.469
1910000 7552.29 0.752805 0.752805 0.752805 31.5995 31.863
1920000 5433.49 40.8632 40.8632 40.8632 22.7343 22.7537
1930000 6967.07 19.4678 19.4678 19.4678 29.1509 29.3148
1940000 2232.1 46.8821 46.8821 46.8821 9.33931 9.22031
1950000 2765.17 -0.22144 -0.22144 -0.22144 11.5697 11.6683
1960000 605.871 24.7777 24.7777 24.7777 2.53503 2.45187
1970000 7171.55 1.03735 1.03735 1.03735 30.0065 30.2553
1980000 13231 89.1507 89.1507 89.1507 55.3597 55.4507
1990000 -1708.52 -23.1254 -23.1254 -23.1254 -7.14862 -7.11137
2000000 14805.9 85.4249 85.4249 85.4249 61.9492 62.1116
2010000 440.882 1.03168 1.03168 1.03168 1.8447 1.85591
2020000 7165.93 14.5032 14.5032 14.5032 29.983 30.1748
2030000 10385.4 92.2807 92.2807 92.2807 43.4537 43.431
2040000 7062.07 63.2486 63.2486 63.2486 29.5484 29.5309
2050000 6644.12 12.3158 12.3158 12.3158 27.7997 27.9823
2060000 14188 64.6534 64.6534 64.6534 59.3638 59.592
2070000 6277.19 63.6223 63.6223 63.6223 26.2644 26.2176
2080000 -3754.14 -16.8384 -16.8384 -16.8384 -15.7077 -15.7692
2090000 2512.6 20.7824 20.7824 20.7824 10.513 10.514
2100000 -469.616 -1.45268 -1.45268 -1.45268 -1.96492 -1.97537
2110000 9723.96 48.6203 48.6203 48.6203 40.686 40.8242
2120000 17607.8 81.532 81.532 81.532 73.6729 73.9506
2130000 19630.2 97.4557 97.4557 97.4557 82.1346 82.4165
2140000 3262.01 37.0207 37.0207 37.0207 13.6486 13.6076
2150000 14483.5 46.2852 46.2852 46.2852 60.6002 60.9163
2160000 30221.2 121.313 121.313 121.313 126.449 127.004
2170000 -10826.6 -11.248 -11.248 -11.248 -45.2994 -45.6342
2180000 19806.2 102.319 102.319 102.319 82.8712 83.1388
2190000 2071.27 57.1715 57.1715 57.1715 8.6664 8.49831
2200000 3197.77 0.900195 0.900195 0.900195 13.3798 13.4889
2210000 2391.04 27.8862 27.8862 27.8862 10.0044 9.97112
2220000 1111.01 29.269 29.269 29.269 4.64856 4.56429
2230000 -4570.28 -23.9464 -23.9464 -23.9464 -19.1225 -19.1828
2240000 7277.94 35.1636 35.1636 35.1636 30.4516 30.5602
2250000 -2654.34 -3.69515 -3.69515 -3.69515 -11.106 -11.1842
2260000 1807.25 -3.34804 -3.34804 -3.34804 7.5617 7.63963
2270000 1177.62 3.44291 3.44291 3.44291 4.92727 4.95432
2280000 -1226.74 2.70584 2.70584 2.70584 -5.13278 -5.18751
2290000 -8811.97 -44.3624 -44.3624 -44.3624 -36.8702 -36.9941
2300000 8028.67 36.7888 36.7888 36.7888 33.5928 33.721
2310000 -618.435 8.16515 8.16515 8.16515 -2.58759 -2.64388
2320000 -688.406 -3.26794 -3.26794 -3.26794 -2.88036 -2.89088
2330000 -408.022 -12.0745 -12.0745 -12.0745 -1.7072 -1.67066
2340000 1281.69 10.0958 10.0958 10.0958 5.36272 5.36538
2350000 504.927 -6.25113 -6.25113 -6.25113 2.11267 2.15687
2360000 3689.58 11.1362 11.1362 11.1362 15.4376 15.5209
2370000 -10314.7 -32.2093 -32.2093 -32.2093 -43.1576 -43.3859
2380000 -3315.4 -19.9459 -19.9459 -19.9459 -13.872 -13.9049
2390000 12042.9 53.49 53.49 53.49 50.3889 50.5884
2400000 -887.883 -8.72606 -8.72606 -8.72606 -3.71499 -3.70952
2410000 -1451.18 -2.39768 -2.39768 -2.39768 -6.0719 -6.11303
2420000 -1164.93 1.51881 1.51881 1.51881 -4.87417 -4.92171
2430000 700.965 -2.10824 -2.10824 -2.10824 2.93291 2.96656
2440000 197.641 -5.82972 -5.82972 -5.82972 0.826949 0.858526
2450000 -3986.58 -11.0853 -11.0853 -11.0853 -16.6803 -16.7742
2460000 1839.03 3.7633 3.7633 3.7633 7.69467 7.74372
2470000 2135.46 22.167 22.167 22.167 8.93497 8.91684
2480000 593.011 -1.73788 -1.73788 -1.73788 2.48122 2.50949
2490000 -1323.25 -2.47363 -2.47363 -2.47363 -5.53661 -5.5729
2500000 -1361.35 -9.19796 -9.19796 -9.19796 -5.69601 -5.70527
2510000 -384.804 -5.66937 -5.66937 -5.66937 -1.61006 -1.59972
2520000 1897.08 17.4117 17.4117 17.4117 7.93756 7.93108
2530000 -447.095 -9.13177 -9.13177 -9.13177 -1.87069 -1.84795
2540000 3437.84 4.34888 4.34888 4.34888 14.3843 14.4873
2550000 -1139.09 6.41214 6.41214 6.41214 -4.76606 -4.83334
2560000 -1931 1.3144 1.3144 1.3144 -8.0795 -8.15323
2570000 -1155.99 -7.04088 -7.04088 -7.04088 -4.83677 -4.84788
2580000 200.051 3.42322 3.42322 3.42322 0.837034 0.829653
2590000 -1259.38 -30.5895 -30.5895 -30.5895 -5.26935 -5.18475
2600000 4845.46 27.0905 27.0905 27.0905 20.2739 20.3307
2610000 -184.921 4.69789 4.69789 4.69789 -0.773729 -0.800081
2620000 -2479.53 -9.40306 -9.40306 -9.40306 -10.3746 -10.4225
2630000 -69.6562 5.27415 5.27415 5.27415 -0.291448 -0.316162
2640000 1335.31 -5.55154 -5.55154 -5.55154 5.58708 5.65765
2650000 -2645.34 6.33539 6.33539 6.33539 -11.0684 -11.1885
2660000 333.708 2.70427 2.70427 2.70427 1.39627 1.39664
2670000 91.9524 -4.8611 -4.8611 -4.8611 0.384738 0.408496
2680000 -40.2835 -4.7857 -4.7857 -4.7857 -0.16855 -0.14978
2690000 432.008 4.55285 4.55285 4.55285 1.80756 1.80361
2700000 1138.85 3.57207 3.57207 3.57207 4.76508 4.79022
2710000 -1222.1 -0.136416 -0.136416 -0.136416 -5.1134 -5.15598
2720000 -323.406 1.11872 1.11872 1.11872 -1.35316 -1.3693
2730000 -2048.19 -14.31 -14.31 -14.31 -8.56983 -8.58177
2740000 1070.99 -6.23349 -6.23349 -6.23349 4.48111 4.54523
2750000 1646.51 18.8107 18.8107 18.8107 6.88916 6.86793
2760000 1265.8 -0.894926 -0.894926 -0.894926 5.29623 5.3447
2770000 675.514 1.03687 1.03687 1.03687 2.82642 2.84589
2780000 -83.4722 -5.20998 -5.20998 -5.20998 -0.349256 -0.330221
2790000 2107.93 4.84627 4.84627 4.84627 8.81979 8.87377
2800000 -1458.78 -3.65277 -3.65277 -3.65277 -6.1037 -6.1398
2810000 -6562.11 -18.8523 -18.8523 -18.8523 -27.4565 -27.6087
2820000 -3241.93 -7.01349 -7.01349 -7.01349 -13.5645 -13.6494
2830000 59.0519 -4.61217 -4.61217 -4.61217 0.247079 0.268625
2840000 2867.63 29.87 29.87 29.87 11.9984 11.9737
2850000 -3773.54 -17.6567 -17.6567 -17.6567 -15.7889 -15.8476
2860000 2010.03 15.429 15.429 15.429 8.41015 8.41602
2870000 3668.72 7.29114 7.29114 7.29114 15.3503 15.4491
2880000 -1496.43 1.10757 1.10757 1.10757 -6.26121 -6.31872
2890000 580.216 2.6059 2.6059 2.6059 2.42768 2.43717
2900000 -1090.17 0.978826 0.978826 0.978826 -4.56138 -4.604
2910000 281.097 -6.50198 -6.50198 -6.50198 1.17614 1.2135
2920000 -7495.46 -30.1002 -30.1002 -30.1002 -31.3617 -31.4994
2930000 723.879 -3.3631 -3.3631 -3.3631 3.02878 3.06853
2940000 9036.04 41.4927 41.4927 41.4927 37.8077 37.9517
2950000 -11521.7 -48.6321 -48.6321 -48.6321 -48.2078 -48.4094
2960000 2124.99 7.7409 7.7409 7.7409 8.89115 8.93352
2970000 -95.7044 1.38129 1.38129 1.38129 -0.400437 -0.409644
2980000 6472.6 25.355 25.355 25.355 27.082 27.2036
2990000 -577.584 8.44157 8.44157 8.44157 -2.41667 -2.47268
3000000 -2558.24 -22.7943 -22.7943 -22.7943 -10.704 -10.6981
3010000 4839.74 32.0333 32.0333 32.0333 20.2499 20.2857
3020000 -1917.08 -6.00147 -6.00147 -6.00147 -8.02125 -8.06362
3030000 92.075 0.241258 0.241258 0.241258 0.385251 0.387484
3040000 -720.146 -4.40107 -4.40107 -4.40107 -3.01316 -3.02002
3050000 179.648 -8.52417 -8.52417 -8.52417 0.751664 0.793974
3060000 122.47 7.86428 7.86428 7.86428 0.512429 0.48357
3070000 -2051.36 -3.90921 -3.90921 -3.90921 -8.58312 -8.63905
3080000 682.914 -6.58557 -6.58557 -6.58557 2.85738 2.90928
3090000 -1545.69 -7.95533 -7.95533 -7.95533 -6.46731 -6.48832
3100000 2708.91 17.4973 17.4973 17.4973 11.3343 11.3562
3110000 -531.229 -6.40918 -6.40918 -6.40918 -2.22272 -2.21443
3120000 1362.36 1.27905 1.27905 1.27905 5.70027 5.74297
3130000 -329.557 9.14257 9.14257 9.14257 -1.3789 -1.42911
3140000 -1837.59 -2.94091 -2.94091 -2.94091 -7.68866 -7.74114
3150000 -1596.58 -10.6652 -10.6652 -10.6652 -6.68023 -6.6916
3160000 -3161.5 -33.1896 -33.1896 -33.1896 -13.2281 -13.1996
3170000 1070.38 29.526 29.526 29.526 4.47859 4.3918
3180000 1137.06 10.9053 10.9053 10.9053 4.75758 4.75172
3190000 205.581 5.58294 5.58294 5.58294 0.860173 0.843876
3200000 -533.352 -11.1648 -11.1648 -11.1648 -2.2316 -2.20332
3210000 -154.192 8.71067 8.71067 8.71067 -0.645155 -0.687353
3220000 814.431 -0.661544 -0.661544 -0.661544 3.40766 3.43921
3230000 -859.962 -7.93173 -7.93173 -7.93173 -3.59817 -3.59507
3240000 -797.038 11.2998 11.2998 11.2998 -3.33489 -3.41071
3250000 -3931.73 -27.2258 -27.2258 -27.2258 -16.4508 -16.4747
3260000 -2488.26 3.63746 3.63746 3.63746 -10.4111 -10.5143
3270000 14826.2 30.7564 30.7564 30.7564 62.0343 62.4281
3280000 22358 229.449 229.449 229.449 93.5481 93.3694
3290000 -2963.86 -12.4585 -12.4585 -12.4585 -12.4011 -12.4532
3300000 2254.07 -9.80595 -9.80595 -9.80595 9.43123 9.5522
3310000 15060.7 82.3961 82.3961 82.3961 63.0155 63.1997
3320000 6912.67 59.0944 59.0944 59.0944 28.9233 28.9181
3330000 -3220.96 -39.2952 -39.2952 -39.2952 -13.4768 -13.4248
3340000 -293.643 10.0072 10.0072 10.0072 -1.22863 -1.28122
3350000 2130.76 16.2649 16.2649 16.2649 8.91531 8.92192
3360000 4986.74 58.3315 58.3315 58.3315 20.865 20.795
3370000 6369.3 -11.5333 -11.5333 -11.5333 26.6498 26.9234
3380000 4159.54 44.5636 44.5636 44.5636 17.4039 17.3628
3390000 -530.994 -1.17165 -1.17165 -1.17165 -2.22173 -2.23554
3400000 6069.16 40.6838 40.6838 40.6838 25.394 25.4366
3410000 12716.2 74.7324 74.7324 74.7324 53.206 53.3397
3420000 12532.2 54.0164 54.0164 54.0164 52.4358 52.6504
3430000 7389.89 38.8323 38.8323 38.8323 30.92 31.0171
3440000 987.254 3.81792 3.81792 3.81792 4.13077 4.14952
3450000 14736.5 57.0091 57.0091 57.0091 61.6591 61.9389
3460000 10729.5 70.4015 70.4015 70.4015 44.8932 44.975
3470000 1126.93 -1.11424 -1.11424 -1.11424 4.71519 4.75968
3480000 83.2352 -20.2394 -20.2394 -20.2394 0.348264 0.436602
3490000 7733.76 46.9701 46.9701 46.9701 32.3588 32.4337
3500000 9463.74 49.2104 49.2104 49.2104 39.5972 39.7237
3510000 479.145 -5.21981 -5.21981 -5.21981 2.00479 2.04374
3520000 -2324.82 -45.0776 -45.0776 -45.0776 -9.72727 -9.61916
3530000 -1036.24 25.21 25.21 25.21 -4.33575 -4.47871
3540000 8341.62 30.8967 30.8967 30.8967 34.9022 35.0663
3550000 889.27 15.8221 15.8221 15.8221 3.7208 3.68544
3560000 -578.607 0.177041 0.177041 0.177041 -2.42095 -2.44213
3570000 2712.09 58.3366 58.3366 58.3366 11.3476 11.1973
3580000 7986.73 10.5943 10.5943 10.5943 33.4173 33.6546
3590000 14696.2 73.9507 73.9507 73.9507 61.4905 61.6974
3600000 6945.84 29.3032 29.3032 29.3032 29.0621 29.1837
3610000 3720.53 23.1461 23.1461 23.1461 15.5671 15.6008
3620000 3726.32 10.8596 10.8596 10.8596 15.5913 15.677
3630000 11484.1 83.2074 83.2074 83.2074 48.0506 48.105
3640000 5213.16 49.7125 49.7125 49.7125 21.8124 21.7867
3650000 1837.54 0.859614 0.859614 0.859614 7.68847 7.74972
3660000 9976.64 42.7847 42.7847 42.7847 41.7433 41.915
3670000 13759.6 52.9154 52.9154 52.9154 57.5714 57.8339
3680000 1150.14 13.9542 13.9542 13.9542 4.81229 4.79402
3690000 -1588.48 -16.0628 -16.0628 -16.0628 -6.64635 -6.63466
3700000 5616.3 38.2889 38.2889 38.2889 23.4991 23.5359
3710000 1940.47 18.939 18.939 18.939 8.11913 8.10773
3720000 12554.9 32.7681 32.7681 32.7681 52.5311 52.8362
3730000 11844.6 49.0154 49.0154 49.0154 49.5589 49.7703
3740000 109.071 7.25339 7.25339 7.25339 0.456364 0.42961
3750000 15437.5 97.8644 97.8644 97.8644 64.5918 64.724
3760000 1884.34 8.55767 8.55767 8.55767 7.88428 7.91471
3770000 836.267 22.9912 22.9912 22.9912 3.49902 3.43154
3780000 1070.39 -9.35985 -9.35985 -9.35985 4.4786 4.55589
3790000 -423.481 6.03246 6.03246 6.03246 -1.77189 -1.81229
3800000 4562.75 46.5831 46.5831 46.5831 19.091 19.0556
3810000 9487.5 47.4571 47.4571 47.4571 39.6966 39.8314
3820000 6072.02 95.14 95.14 95.14 25.4059 25.2189
3830000 18368.4 57.6855 57.6855 57.6855 76.8552 77.2604
3840000 16478 139.302 139.302 139.302 68.9455 68.9396
3850000 4670.42 27.7197 27.7197 27.7197 19.5415 19.5895
3860000 4895.12 17.6437 17.6437 17.6437 20.4817 20.5801
3870000 467.225 1.33022 1.33022 1.33022 1.95492 1.9658
3880000 -7415.53 -36.0787 -36.0787 -36.0787 -31.0273 -31.1369
3890000 6555.53 29.6955 29.6955 29.6955 27.429 27.5352
3900000 798.823 -6.39293 -6.39293 -6.39293 3.34236 3.39754
3910000 -4455.11 -2.64503 -2.64503 -2.64503 -18.6406 -18.7868
